"","year","total","num_codes","frequency","percent"
"1",2000,4077,"1",1037,25.4353691439784
"2",2000,4077,"2",1326,32.5239146431199
"3",2000,4077,"3",986,24.1844493500123
"4",2000,4077,"4",485,11.8960019622271
"5",2000,4077,"5+",243,5.96026490066225
"6",2001,4477,"1",1123,25.0837614473978
"7",2001,4477,"2",1553,34.6884074156801
"8",2001,4477,"3",1027,22.9394683940138
"9",2001,4477,"4",499,11.1458566004021
"10",2001,4477,"5+",275,6.14250614250614
"11",2002,4746,"1",1162,24.4837758112094
"12",2002,4746,"2",1584,33.3754740834387
"13",2002,4746,"3",1112,23.4302570585756
"14",2002,4746,"4",542,11.4201432785504
"15",2002,4746,"5+",346,7.29034976822587
"16",2003,4836,"1",1144,23.6559139784946
"17",2003,4836,"2",1620,33.4987593052109
"18",2003,4836,"3",1133,23.4284532671629
"19",2003,4836,"4",584,12.0760959470637
"20",2003,4836,"5+",355,7.34077750206782
"21",2004,4892,"1",1123,22.9558462796402
"22",2004,4892,"2",1521,31.0915780866721
"23",2004,4892,"3",1243,25.408830744072
"24",2004,4892,"4",638,13.0417007358953
"25",2004,4892,"5+",367,7.50204415372036
"26",2005,5036,"1",1041,20.671167593328
"27",2005,5036,"2",1590,31.5726767275616
"28",2005,5036,"3",1298,25.7744241461477
"29",2005,5036,"4",683,13.5623510722796
"30",2005,5036,"5+",424,8.41938046068308
"31",2006,4980,"1",1055,21.1847389558233
"32",2006,4980,"2",1491,29.9397590361446
"33",2006,4980,"3",1328,26.6666666666667
"34",2006,4980,"4",636,12.7710843373494
"35",2006,4980,"5+",470,9.43775100401606
"36",2007,5085,"1",1113,21.8879056047198
"37",2007,5085,"2",1529,30.0688298918387
"38",2007,5085,"3",1316,25.8800393313668
"39",2007,5085,"4",678,13.3333333333333
"40",2007,5085,"5+",449,8.8298918387414
"41",2008,5256,"1",1120,21.3089802130898
"42",2008,5256,"2",1588,30.2130898021309
"43",2008,5256,"3",1364,25.9512937595129
"44",2008,5256,"4",714,13.5844748858447
"45",2008,5256,"5+",470,8.94216133942161
"46",2009,5179,"1",1240,23.9428461092875
"47",2009,5179,"2",1549,29.9092488897471
"48",2009,5179,"3",1218,23.5180536783163
"49",2009,5179,"4",659,12.7244641822746
"50",2009,5179,"5+",513,9.90538714037459
"51",2010,5284,"1",1114,21.0825132475397
"52",2010,5284,"2",1621,30.6775170325511
"53",2010,5284,"3",1294,24.4890234670704
"54",2010,5284,"4",735,13.9099167297502
"55",2010,5284,"5+",520,9.84102952308857
"56",2011,5384,"1",1216,22.5854383358098
"57",2011,5384,"2",1676,31.1292719167905
"58",2011,5384,"3",1304,24.2199108469539
"59",2011,5384,"4",680,12.630014858841
"60",2011,5384,"5+",508,9.43536404160476
"61",2012,5628,"1",1368,24.3070362473348
"62",2012,5628,"2",1698,30.1705756929638
"63",2012,5628,"3",1317,23.4008528784648
"64",2012,5628,"4",707,12.5621890547264
"65",2012,5628,"5+",538,9.55934612651031
"66",2013,5621,"1",1312,23.3410425191247
"67",2013,5621,"2",1700,30.2437288738659
"68",2013,5621,"3",1335,23.7502223803594
"69",2013,5621,"4",684,12.1686532645437
"70",2013,5621,"5+",590,10.4963529621064
"71",2014,5707,"1",1363,23.8829507622218
"72",2014,5707,"2",1652,28.9469073068162
"73",2014,5707,"3",1318,23.0944454179078
"74",2014,5707,"4",731,12.8088312598563
"75",2014,5707,"5+",643,11.2668652531978
"76",2015,6349,"1",1188,18.7116081272641
"77",2015,6349,"2",1714,26.9963773822649
"78",2015,6349,"3",1490,23.4682627185384
"79",2015,6349,"4",1035,16.3017798078438
"80",2015,6349,"5+",922,14.5219719640888
"81",2016,6699,"1",1111,16.5845648604269
"82",2016,6699,"2",1764,26.3322884012539
"83",2016,6699,"3",1541,23.0034333482609
"84",2016,6699,"4",1134,16.9278996865204
"85",2016,6699,"5+",1149,17.1518137035378
"86",2017,1786,"1",333,18.6450167973124
"87",2017,1786,"2",443,24.8040313549832
"88",2017,1786,"3",418,23.4042553191489
"89",2017,1786,"4",301,16.8533034714446
"90",2017,1786,"5+",291,16.2933930571109
